Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
-2.62409,0.0255653,0.0246593,-0.679783,-0.169569,0.0808886,-2.13863,0.0111953,-0.164897,-0.485918,-0.0945058,-0.0703629,-0.679783,-0.0567221,0.040242,-2.13863,-0.120351,-0.687649,-0.485918,0.431961,0.0921243,-2.62409,0.0169743,0.0856723,-2.13863,0.0227339,-0.0443941,-0.485918,-0.278239,-0.385164,-2.62409,-0.519729,-0.551115,-0.679783,-0.39478,-0.190498
-2.57251,0.0300126,0.0242605,-0.664183,-0.159434,0.0792045,-2.10221,0.0013286,-0.16192,-0.476264,-0.0600741,-0.0712172,-0.664183,-0.0294294,0.0368115,-2.10221,-0.114991,-0.67761,-0.476264,0.474526,0.090723,-2.57251,0.041839,0.0843398,-2.10221,0.0218258,-0.0432529,-0.476264,-0.165415,-0.378715,-2.57251,-0.475172,-0.540962,-0.664183,-0.40089,-0.187527
-2.52092,0.0331962,0.0238617,-0.648583,-0.149298,0.0775204,-2.0658,-0.00853812,-0.158943,-0.466609,-0.0256424,-0.0720715,-0.648583,-0.00213676,0.033381,-2.0658,-0.10963,-0.667571,-0.466609,0.51709,0.0893218,-2.52092,0.0615437,0.0830073,-2.0658,0.0209178,-0.0421118,-0.466609,-0.0525916,-0.372266,-2.52092,-0.437748,-0.530809,-0.648583,-0.407,-0.184555
-2.46933,0.0347191,0.0234628,-0.632984,-0.139163,0.0758363,-2.02938,-0.0184048,-0.155966,-0.456955,-0.00307594,-0.0729259,-0.632984,0.0251559,0.0299505,-2.02938,-0.10427,-0.657532,-0.456955,0.531312,0.0879205,-2.46933,0.0744673,0.0816748,-2.02938,0.0200097,-0.0409707,-0.456955,0.00148276,-0.365817,-2.46933,-0.409696,-0.520656,-0.632984,-0.41311,-0.181584
-2.41775,0.0362419,0.023064,-0.617384,-0.129027,0.0741522,-1.99296,-0.0282716,-0.152989,-0.447301,0.0131776,-0.0737802,-0.617384,0.0524486,0.02652,-1.99296,-0.0989098,-0.647493,-0.447301,0.530469,0.0865192,-2.41775,0.0873909,0.0803424,-1.99296,0.0191016,-0.0398295,-0.447301,0.0247064,-0.359367,-2.41775,-0.381645,-0.510503,-0.617384,-0.419219,-0.178613
-2.36616,0.0377648,0.0226652,-0.601784,-0.118891,0.072468,-1.95654,-0.0381383,-0.150013,-0.437647,0.0205593,-0.0746346,-0.601784,0.0797413,0.0230894,-1.95654,-0.0935494,-0.637454,-0.437647,0.508497,0.0851179,-2.36616,0.100315,0.0790099,-1.95654,0.0181935,-0.0386884,-0.437647,0.00565302,-0.352918,-2.36616,-0.353593,-0.50035,-0.601784,-0.425329,-0.175641
-2.31457,0.0390343,0.0222664,-0.586184,-0.108756,0.0707839,-1.92013,-0.048005,-0.147036,-0.427993,0.0249536,-0.0754889,-0.586184,0.107034,0.0196589,-1.92013,-0.0881891,-0.627415,-0.427993,0.479416,0.0837167,-2.31457,0.112177,0.0776774,-1.92013,0.0172855,-0.0375472,-0.427993,-0.0274506,-0.346469,-2.31457,-0.327035,-0.490197,-0.586184,-0.431439,-0.17267
-2.26299,0.0376171,0.0218675,-0.570585,-0.100794,0.0690998,-1.88371,-0.0578717,-0.144059,-0.418339,0.0256546,-0.0763433,-0.570585,0.123652,0.0162284,-1.88371,-0.0828288,-0.617376,-0.418339,0.441574,0.0823154,-2.26299,0.112779,0.0763449,-1.88371,0.0163774,-0.0364061,-0.418339,-0.0772548,-0.34002,-2.26299,-0.316316,-0.480044,-0.570585,-0.43129,-0.169699
-2.2114,0.0361998,0.0214687,-0.554985,-0.0952879,0.0674157,-1.84729,-0.0677385,-0.141082,-0.408685,0.0201206,-0.0771976,-0.554985,0.128208,0.0127979,-1.84729,-0.0774685,-0.607337,-0.408685,0.38902,0.0809141,-2.2114,0.113382,0.0750125,-1.84729,0.0154693,-0.035265,-0.408685,-0.15318,-0.333571,-2.2114,-0.305597,-0.469891,-0.554985,-0.424068,-0.166728
-2.15982,0.0347826,0.0210699,-0.539385,-0.0897819,0.0657316,-1.81087,-0.0776052,-0.138106,-0.39903,0.0121808,-0.078052,-0.539385,0.132764,0.00936737,-1.81087,-0.0721082,-0.597298,-0.39903,0.330833,0.0795128,-2.15982,0.113984,0.07368,-1.81087,0.0145612,-0.0341238,-0.39903,-0.23802,-0.327122,-2.15982,-0.294878,-0.459738,-0.539385,-0.416847,-0.163756
-2.10823,0.0325869,0.0206711,-0.523785,-0.0843018,0.0640475,-1.77446,-0.0874719,-0.135129,-0.389376,0.00424088,-0.0789063,-0.523785,0.137097,0.00593685,-1.77446,-0.0667478,-0.587259,-0.389376,0.272645,0.0781115,-2.10823,0.111163,0.0723475,-1.77446,0.0136532,-0.0329827,-0.389376,-0.32286,-0.320672,-2.10823,-0.289125,-0.449585,-0.523785,-0.409449,-0.160785
-2.05664,0.0298486,0.0202722,-0.508185,-0.0798844,0.0623634,-1.73804,-0.0973386,-0.132152,-0.379722,-0.00470236,-0.0797607,-0.508185,0.132253,0.00250633,-1.73804,-0.0613875,-0.57722,-0.379722,0.212176,0.0767103,-2.05664,0.105943,0.071015,-1.73804,0.0127451,-0.0318415,-0.379722,-0.409669,-0.314223,-2.05664,-0.28686,-0.439431,-0.508185,-0.394802,-0.157814
-2.00506,0.0264451,0.0198734,-0.492586,-0.075467,0.0606793,-1.70162,-0.107205,-0.129175,-0.370068,-0.0146688,-0.080615,-0.492586,0.12741,-0.000924187,-1.70162,-0.0560272,-0.567181,-0.370068,0.149538,0.075309,-2.00506,0.0975197,0.0696826,-1.70162,0.011837,-0.0307004,-0.370068,-0.494311,-0.307774,-2.00506,-0.289492,-0.429278,-0.492586,-0.380154,-0.154843
