iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,50.6919,1,13.5016,36.5315,21.7629,16.3975,1.54598,0.0572365,0.257881,1.665,6.78912e-08,0.72094
2,44.0352,1,13.4837,30.2953,21.7629,16.2197,1.64386,0.0596497,0.236545,1.42057,7.19652e-08,0.792984
3,39.4902,1,13.7533,28.4657,21.7629,16.1106,1.64381,0.0575299,0.247375,1.51499,6.25888e-08,0.792923
4,37.4789,1,13.7706,27.5276,21.7629,15.6336,1.55392,0.0602436,0.231993,1.40527,6.91356e-08,0.842231
5,35.034,1,13.5337,31.9987,21.7629,15.1659,1.51854,0.063486,0.242101,1.48751,5.18335e-08,0.852282
6,23.9363,1,13.5358,30.0153,21.7629,14.1069,1.4687,0.0621528,0.23243,1.47916,4.27257e-08,0.879875
7,36.8375,1,13.553,29.0656,21.7629,14.5413,1.58859,0.0642946,0.233824,1.53216,4.60952e-08,0.842911
8,31.9385,1,13.653,33.3454,21.7629,16.1437,1.58852,0.0614101,0.232382,1.65133,4.16538e-08,0.833493
9,26.8295,1,13.6537,31.2332,21.7629,15.2444,1.6474,0.0605254,0.233077,1.53339,3.68805e-08,0.789461
10,30.895,1,13.5333,32.468,21.7629,14.7577,1.69762,0.0635063,0.240487,1.45741,3.65828e-08,0.739528
11,34.7892,1,13.6076,31.4735,21.7629,13.7989,1.75579,0.0633664,0.234998,1.60063,3.0444e-08,0.851919
12,28.5198,1,13.6035,32.3084,21.7629,14.2628,1.75572,0.0608255,0.239132,1.56408,2.73272e-08,0.884755
13,34.216,1,13.834,27.3481,21.7629,13.5667,1.8332,0.0596793,0.249523,1.59214,2.83037e-08,0.835732
14,20.2412,1,13.8152,23.3295,21.7629,15.5805,1.61717,0.063205,0.234727,1.65284,2.87967e-08,0.742207
15,6.68664,1,13.5765,25.8692,21.7629,17.1757,1.53654,0.0582961,0.224782,1.60874,2.7125e-08,0.762348
16,-0.578867,1,13.6403,25.3601,21.7629,17.5165,1.56195,0.0544638,0.231166,1.63034,2.45136e-08,0.718508
17,-4.78064,1,13.5051,24.0508,21.7629,16.7128,1.56201,0.0558169,0.229784,1.43304,2.20411e-08,0.720663
18,-5.4004,1,13.4945,24.2701,21.7629,16.046,1.63313,0.0524653,0.234464,1.38495,2.20618e-08,0.712811
19,0.271175,1,13.642,30.8626,21.7629,15.4972,1.68649,0.0528427,0.240495,1.54249,2.13175e-08,0.68503
20,11.2527,1,13.7314,27.1986,21.7629,15.1534,1.71417,0.0555923,0.242287,1.33012,2.4534e-08,0.831079
21,7.83313,1,13.7038,31.4152,21.7629,15.9669,1.71415,0.0568593,0.240104,1.36771,2.44183e-08,0.728753
22,4.47152,1,13.643,26.5303,21.7629,16.1839,1.57498,0.0589677,0.237928,1.51812,2.35133e-08,0.735253
23,13.9236,1,13.5301,27.1607,21.7629,15.1565,1.56502,0.0667072,0.231115,1.43336,2.47515e-08,0.768064
24,17.3224,1,13.693,26.8884,21.7629,15.0248,1.56505,0.0679118,0.233346,1.38122,2.90431e-08,0.737803
25,18.2676,1,13.7823,26.3513,21.7629,14.9353,1.56502,0.0681881,0.232276,1.46441,2.79235e-08,0.761122
26,18.8143,1,13.5132,28.6788,21.7629,15.1062,1.56498,0.0666929,0.228726,1.49767,2.75341e-08,0.779362
27,16.1922,1,13.6199,25.7731,21.7629,16.5905,1.56495,0.0665325,0.235139,1.37709,2.76523e-08,0.786312
28,24.002,1,13.3302,21.2183,21.7629,15.0684,1.49544,0.0717404,0.226897,1.30995,3.36266e-08,0.800473
29,25.8159,1,13.6207,22.5608,21.7629,15.2774,1.60273,0.0709214,0.230199,1.2239,3.55789e-08,0.737694
30,29.3942,1,13.5499,24.1581,21.7629,15.5123,1.60278,0.0718884,0.223691,1.28543,3.52039e-08,0.774809
31,25.6472,1,13.467,25.436,21.7629,16.8684,1.54851,0.069769,0.232597,1.31515,3.61217e-08,0.77197
32,21.5839,1,13.4632,23.7476,21.7629,14.673,1.56129,0.0644526,0.23944,1.35316,3.6074e-08,0.754372
33,27.7686,1,13.7734,24.7128,21.7629,13.5772,1.56133,0.0674524,0.234489,1.42044,3.64304e-08,0.845981
34,22.9809,1,13.6092,23.4153,21.7629,14.9756,1.55024,0.0648949,0.232408,1.29425,3.36375e-08,0.936635
35,20.2782,1,13.5596,25.1719,21.7629,16.0456,1.58692,0.0627634,0.225417,1.24155,3.53043e-08,0.893681
36,15.2577,1,13.5598,27.9635,21.7629,13.9099,1.5252,0.0629513,0.224711,1.17548,3.62914e-08,0.875508
37,11.0782,1,13.6611,27.4197,21.7629,13.8516,1.45798,0.0616391,0.235783,1.28065,3.35448e-08,0.892435
38,20.0179,1,13.5581,27.6933,21.7629,15.5205,1.5327,0.0644698,0.238516,1.29284,3.39601e-08,0.872096
39,16.5355,1,13.7749,27.3065,21.7629,14.2453,1.47597,0.0646808,0.239435,1.26409,3.42501e-08,0.908026
40,16.716,1,13.6463,32.4947,21.7629,13.8157,1.51196,0.0633402,0.242869,1.35202,2.85435e-08,0.953155
41,29.6196,1,13.5456,29.8957,21.7629,14.1531,1.55636,0.0700708,0.228012,1.35663,3.12479e-08,0.972825
42,21.61,1,13.532,25.3338,21.7629,14.9254,1.43206,0.0737386,0.232116,1.39331,2.88376e-08,0.86353
43,27.895,1,13.5265,30.5332,21.7629,15.0536,1.61032,0.0686907,0.231718,1.4068,3.02486e-08,0.852244
44,25.0524,1,13.7425,26.8941,21.7629,13.611,1.63534,0.0663413,0.240112,1.35597,2.76546e-08,0.898858
45,27.9457,1,13.7822,31.2434,21.7629,13.7838,1.72713,0.063852,0.241769,1.2534,3.03479e-08,0.885327
46,19.1665,1,13.7491,27.7703,21.7629,14.4723,1.56295,0.0692522,0.235695,1.19144,3.06681e-08,0.815049
47,9.71812,1,13.4909,23.9259,21.7629,14.7761,1.43726,0.0690226,0.232849,1.17688,3.09289e-08,0.766369
48,14.7384,1,13.5137,21.336,21.7629,15.6219,1.47506,0.0691428,0.231398,1.28436,3.02682e-08,0.781828
49,12.9293,1,13.5743,23.8666,21.7629,15.6677,1.51189,0.0661771,0.222243,1.27581,3.01575e-08,0.826255
50,21.4554,1,13.521,25.633,21.7629,14.7171,1.51197,0.0693232,0.239008,1.26142,3.34227e-08,0.800597
51,12.0393,1,13.734,23.6486,21.7629,15.9886,1.53038,0.0664895,0.24203,1.28129,2.77016e-08,0.77037
52,14.1951,1,13.605,23.1503,21.7629,14.96,1.60564,0.0631922,0.229803,1.34278,2.68538e-08,0.812189
53,11.8655,1,13.5798,23.5286,21.7629,15.7554,1.52763,0.0708067,0.224843,1.3773,2.18378e-08,0.807156
54,10.7263,1,13.5416,25.9424,21.7629,16.1255,1.69043,0.0637199,0.232082,1.3152,2.18816e-08,0.739365
55,1.93831,1,13.4482,24.4497,21.7629,16.3073,1.63872,0.0584609,0.24335,1.33845,2.00533e-08,0.763501
56,2.46564,1,13.6327,28.8306,21.7629,15.7376,1.60941,0.0554205,0.24209,1.43628,2.04027e-08,0.884277
57,8.82286,1,13.5949,28.9599,21.7629,15.7432,1.67673,0.0542787,0.241352,1.57851,2.23945e-08,0.814068
58,3.86479,1,13.6729,29.1219,21.7629,15.9559,1.56786,0.0582428,0.239855,1.40853,2.1452e-08,0.892681
59,10.3445,1,13.5776,25.2032,21.7629,15.2631,1.63864,0.0629144,0.233417,1.40343,1.78043e-08,0.959389
60,8.05019,1,13.5606,27.83,21.7629,16.427,1.49968,0.0663305,0.232819,1.44835,1.90866e-08,0.94453
61,15.5604,1,13.5685,28.8044,21.7629,15.0221,1.61769,0.0622489,0.243702,1.45402,2.19498e-08,0.91511
62,9.64922,1,13.5743,28.3565,21.7629,15.5626,1.61764,0.0613763,0.234196,1.44084,2.28336e-08,0.803715
63,8.43586,1,13.6424,27.8748,21.7629,14.4898,1.65503,0.061497,0.245969,1.40151,1.93124e-08,0.809111
64,9.5408,1,13.6279,26.4533,21.7629,15.3323,1.68557,0.0604651,0.25803,1.3697,1.89551e-08,0.808012
65,-3.06275,1,13.597,27.6199,21.7629,14.8885,1.6422,0.0594629,0.238371,1.21369,1.85367e-08,0.76268
66,-0.180306,1,13.578,26.1491,21.7629,14.7682,1.71959,0.0576189,0.243219,1.18529,1.73461e-08,0.811046
67,-4.63189,1,13.5733,24.2799,21.7629,14.4946,1.62099,0.05977,0.238761,1.27211,1.68501e-08,0.7841
68,-13.3721,1,13.7537,25.0241,21.7629,14.8533,1.58725,0.0577172,0.24001,1.40399,1.49012e-08,0.774014
69,45.224,1,13.7828,25.9477,21.7629,14.6493,1.62465,0.0504469,0.244894,1.33343,1.24967e-07,0.762486
70,55.4917,1,13.6945,25.2082,21.7629,14.4093,1.71962,0.0515128,0.252599,1.27673,1.36684e-07,0.755217
71,52.4584,1,13.4539,25.9,21.7629,15.0316,1.71073,0.0535377,0.234139,1.27866,1.21248e-07,0.76342
72,61.1448,1,13.5708,28.6084,21.7629,16.0412,1.77178,0.0561068,0.235208,1.30298,1.22559e-07,0.791153
73,53.906,1,13.5225,27.5268,21.7629,17.066,1.55328,0.0571932,0.242841,1.40974,1.25794e-07,0.847655
74,54.1674,1,13.4897,24.6941,21.7629,15.1075,1.55334,0.0590805,0.23147,1.38242,1.24371e-07,0.840922
75,62.5456,1,13.4551,28.2393,21.7629,15.327,1.5532,0.0610289,0.226011,1.46625,1.4212e-07,0.869876
76,51.6599,1,13.4401,34.2955,21.7629,14.8063,1.52898,0.0585391,0.224717,1.4606,1.2867e-07,0.791787
77,67.2157,1,13.4426,28.1441,21.7629,15.6625,1.52664,0.0659994,0.237157,1.40456,1.44745e-07,0.844976
78,70.6618,1,13.6437,31.1402,21.7629,15.4168,1.61011,0.062975,0.238609,1.40811,1.56829e-07,0.849847
79,62.4585,1,13.6783,26.8917,21.7629,15.6251,1.62471,0.056726,0.241524,1.35035,1.568e-07,0.836264
80,60.6016,1,13.6881,25.9459,21.7629,15.16,1.57486,0.0610881,0.23636,1.36088,1.45111e-07,0.804217
81,69.0646,1,13.7068,28.4102,21.7629,14.6272,1.6189,0.0608425,0.238262,1.40598,1.59691e-07,0.845849
82,64.2829,1,13.7187,27.031,21.7629,14.1817,1.5491,0.060496,0.244159,1.38034,1.65876e-07,0.814204
83,61.5926,1,13.6153,33.5127,21.7629,15.0201,1.42484,0.0641183,0.237094,1.46649,1.52685e-07,0.887326
84,60.8627,1,13.5874,31.0386,21.7629,14.2503,1.5518,0.0543576,0.24226,1.43447,1.59726e-07,0.93599
85,57.736,1,13.6302,32.7402,21.7629,13.4801,1.55186,0.0601183,0.230174,1.43984,1.42177e-07,0.808043
86,64.5289,1,13.5493,27.1897,21.7629,14.3308,1.50433,0.0634743,0.24116,1.44194,1.53951e-07,0.817649
87,76.7588,1,13.5901,29.7313,21.7629,15.8244,1.61164,0.065165,0.235891,1.58424,1.70064e-07,0.774875
88,74.9504,1,13.6078,28.3679,21.7629,16.3418,1.66493,0.057965,0.24188,1.49921,1.96048e-07,0.778408
89,70.6167,1,13.6228,32.3804,21.7629,15.7843,1.66486,0.0558026,0.23632,1.48234,2.17929e-07,0.728433
90,68.3572,1,13.6143,27.4845,21.7629,14.5893,1.6648,0.0538588,0.234421,1.46762,1.97213e-07,0.807832
91,65.3555,1,13.6399,27.1426,21.7629,15.0383,1.49812,0.0598601,0.232902,1.56934,1.93923e-07,0.769284
92,76.0472,1,13.8521,29.0091,21.7629,16.3958,1.52077,0.0638974,0.245195,1.76816,1.92373e-07,0.774086
93,66.5882,1,13.6421,30.5279,21.7629,15.4798,1.42137,0.0650877,0.225488,1.6728,1.90536e-07,0.759854
94,70.7315,1,13.58,27.4291,21.7629,15.8418,1.37951,0.0683981,0.225146,1.54024,2.047e-07,0.827259
95,71.4015,1,13.7205,24.4122,21.7629,13.8082,1.50521,0.0646022,0.234345,1.40545,1.95933e-07,0.830388
96,67.2088,1,13.5875,25.1856,21.7629,15.3947,1.54435,0.0620726,0.230345,1.51129,1.82741e-07,0.737548
97,68.1369,1,13.4149,27.9538,21.7629,16.1668,1.61504,0.0586489,0.229881,1.5112,1.77141e-07,0.769578
98,62.7136,1,13.5389,24.3495,21.7629,15.473,1.65208,0.0539177,0.233078,1.40697,1.76228e-07,0.771404
99,65.5074,1,13.5871,26.1581,21.7629,17.0131,1.59903,0.0587448,0.237899,1.37939,1.82639e-07,0.76448
