iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,15.6813,1,13.5016,36.5315,21.7629,16.3975,1.54598,0.0572365,0.257881,1.665,6.78912e-08,0.72094
2,12.8981,1,15.6597,44.1481,21.7629,16.0618,1.54596,0.0551027,0.232232,1.50026,6.85536e-08,0.569803
3,2.20536,1,15.858,41.0195,21.7629,15.1569,1.51257,0.0535015,0.228748,1.42798,5.96301e-08,0.581496
4,2.72354,1,15.9225,46.1775,21.7629,15.4246,1.51252,0.0516176,0.226897,1.53559,6.1616e-08,0.612055
5,-8.62217,1,15.6272,43.6055,21.7629,16.3341,1.49136,0.0500361,0.225139,1.50727,5.00281e-08,0.562341
6,-2.7139,1,15.7162,45.1035,21.7629,15.1886,1.34149,0.0567278,0.225606,1.68779,5.51924e-08,0.621242
7,3.40751,1,15.6329,38.3447,21.7629,15.3849,1.37949,0.0592149,0.223153,1.50702,6.32041e-08,0.606306
8,-8.67586,1,15.8757,39.7727,21.7629,15.7194,1.3921,0.0499039,0.237363,1.53188,5.88916e-08,0.591781
9,4.72971,1,15.9266,38.6288,21.7629,14.626,1.48562,0.0546662,0.238588,1.40813,5.91179e-08,0.633519
10,7.95584,1,15.773,44.2933,21.7629,14.3196,1.50709,0.0560727,0.231497,1.56176,5.72065e-08,0.599547
11,3.46962,1,15.6279,41.649,21.7629,14.2191,1.52484,0.0563966,0.229519,1.40607,5.25128e-08,0.585447
12,-1.62356,1,15.8738,44.6234,21.7629,14.6733,1.50884,0.0522672,0.234562,1.47166,5.63973e-08,0.543941
13,1.52914,1,15.9245,50.2758,21.7629,13.9568,1.53438,0.0476164,0.23934,1.62743,5.68e-08,0.599185
14,-14.9448,1,15.9815,51.907,21.7629,14.9433,1.49757,0.0464719,0.229668,1.60591,4.60419e-08,0.529548
15,-4.98474,1,15.8704,51.0049,21.7629,14.4666,1.53141,0.0477578,0.228581,1.53412,4.95921e-08,0.616454
16,-15.0271,1,15.7139,39.8986,21.7629,15.1909,1.53139,0.0470443,0.226965,1.38322,4.30385e-08,0.583202
17,-19.9288,1,15.8123,38.5892,21.7629,15.1145,1.55937,0.0428026,0.223251,1.37864,4.42681e-08,0.540258
18,-21.3041,1,15.7133,38.1853,21.7629,15.4034,1.55943,0.0452103,0.211958,1.3125,4.14969e-08,0.5485
19,-11.373,1,15.914,40.8378,21.7629,15.2139,1.53227,0.0541914,0.217859,1.22559,4.36121e-08,0.580742
20,-11.7934,1,15.7294,38.8449,21.7629,16.0808,1.58644,0.0473867,0.225773,1.37291,4.10927e-08,0.581365
21,-10.505,1,15.7089,41.0798,21.7629,16.3369,1.5522,0.0462236,0.232565,1.52016,4.70674e-08,0.534225
22,-11.1598,1,15.757,49.9728,21.7629,15.4962,1.55222,0.0476296,0.238052,1.5435,4.48288e-08,0.501012
23,-14.9367,1,15.7707,50.4339,21.7629,15.5314,1.55218,0.0444486,0.233874,1.59846,4.3506e-08,0.523007
24,-16.3558,1,16.0024,42.7922,21.7629,15.0093,1.51232,0.0443748,0.230506,1.76078,4.49582e-08,0.489569
25,-12.2656,1,16.0284,47.741,21.7629,14.7484,1.49454,0.0463493,0.236597,1.68127,4.52532e-08,0.550271
26,-3.65344,1,16.0159,47.9301,21.7629,15.109,1.54026,0.0449843,0.240683,1.68799,5.23482e-08,0.580991
27,-0.0227757,1,15.9858,43.8653,21.7629,15.7324,1.59868,0.0452254,0.245001,1.76681,4.99373e-08,0.547092
28,-7.44684,1,15.8069,39.0057,21.7629,15.3618,1.53394,0.0490869,0.223816,1.38031,5.35055e-08,0.562133
29,-0.0796004,1,15.8102,38.688,21.7629,15.8005,1.58942,0.0441889,0.233115,1.44741,5.88722e-08,0.626689
30,0.98591,1,15.7926,41.5464,21.7629,15.5823,1.57019,0.0433601,0.23564,1.5407,6.25451e-08,0.61936
31,-3.43583,1,15.6664,36.5746,21.7629,16.3021,1.53583,0.0459019,0.232261,1.34679,6.51043e-08,0.588102
32,-0.75432,1,15.5892,33.9741,21.7629,14.9555,1.52035,0.0506148,0.23469,1.19312,6.6098e-08,0.595743
33,-4.43081,1,15.7908,35.5426,21.7629,15.2082,1.52033,0.0497477,0.234583,1.2072,7.17414e-08,0.508684
34,-3.86517,1,15.8596,38.0341,21.7629,15.6643,1.4473,0.0517245,0.228605,1.37979,6.78515e-08,0.555461
35,-5.04154,1,15.908,37.6109,21.7629,16.0454,1.42283,0.046278,0.237153,1.48221,7.04245e-08,0.61934
36,-2.35329,1,15.8365,37.6813,21.7629,15.2631,1.40255,0.0483546,0.226581,1.53895,7.19175e-08,0.64333
37,-6.07577,1,15.8353,42.86,21.7629,15.3924,1.43337,0.0459533,0.226681,1.3832,7.85961e-08,0.594578
38,8.24057,1,15.6137,40.1035,21.7629,15.8539,1.43348,0.0508388,0.226972,1.39566,9.99531e-08,0.591721
39,8.11914,1,15.7519,38.3807,21.7629,16.2337,1.47156,0.051588,0.218182,1.48406,9.1531e-08,0.561363
40,3.21517,1,15.8014,38.6963,21.7629,15.1771,1.40363,0.0573364,0.23073,1.38178,7.32355e-08,0.564684
41,10.8902,1,15.8121,41.7684,21.7629,15.5932,1.55652,0.0523408,0.226302,1.30508,7.75418e-08,0.619997
42,-0.0584984,1,15.7362,37.0441,21.7629,15.4208,1.51766,0.0484987,0.221114,1.31715,6.92146e-08,0.621937
43,-0.146914,1,15.7547,37.5422,21.7629,14.5736,1.54526,0.045019,0.236511,1.33986,6.93018e-08,0.609078
44,1.90895,1,15.932,36.5325,21.7629,13.9751,1.58325,0.0454863,0.235325,1.28709,6.88046e-08,0.612136
45,0.116783,1,15.9277,38.0103,21.7629,14.7205,1.56602,0.0430036,0.239815,1.36736,7.20362e-08,0.591483
