iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,836.619,1,13.5086,26.1537,23.8987,13.1157,1.5,1.5,1.2,1.5,1.5,1.5
2,824.292,1,34.1576,29.3401,54.3846,17.646,1.425,1.425,1.16962,1.46202,1.46202,1.46202
3,816.953,1,34.7248,41.8903,66.7448,18.6265,1.35375,1.35375,1.14,1.46428,1.425,1.48123
4,805.872,1,34.9181,36.6773,77.1357,24.1848,1.28606,1.28606,1.11113,1.54441,1.38892,1.44373
5,803.454,1,34.2798,40.4291,74.3078,22.6551,1.22176,1.22176,1.083,1.88165,1.35375,1.40717
6,793.684,1,34.398,55.8756,70.9608,25.3586,1.16067,1.16067,1.05558,1.83401,1.31947,1.37563
7,780.659,1,34.0318,96.6264,84.2634,20.3718,1.10264,1.10264,1.02885,1.78757,1.28606,1.37154
8,776.091,1,33.1781,118.053,90.9295,16.1808,1.04751,1.04751,1.0028,1.74231,1.2535,1.33681
9,776.588,1,32.3775,130.887,92.6288,16.0216,0.995131,0.995131,0.977407,1.69819,1.22176,1.55039
10,775.202,1,30.9633,104.904,88.6826,15.0037,0.945374,0.945374,0.952659,1.76898,1.19082,1.64636
11,768.973,1,30.0998,128.273,81.7924,11.5401,0.898105,0.898105,0.928537,1.73498,1.16067,1.72228
12,763.294,1,29.1507,110.113,81.1052,16.9613,0.8532,0.8532,0.905026,1.69105,1.13128,1.67867
13,752.271,1,29.0221,152.985,63.7028,23.7279,0.81054,0.81054,0.88211,1.7534,1.10264,1.63616
14,746.312,1,28.3756,117.607,67.5783,16.9057,0.770013,0.770013,0.859775,1.709,1.07472,1.78989
15,733.807,1,28.5671,100.709,66.8971,17.8751,0.731512,0.731512,0.838005,1.66573,1.04751,1.74457
16,723.547,1,28.78,80.561,65.9155,16.3145,0.694937,0.694937,0.816786,1.62355,1.02098,1.70039
17,718.634,1,27.0841,72.3826,72.1212,12.6883,0.66019,0.66019,0.796105,1.58244,0.995131,1.65734
18,720.367,1,25.4464,65.5784,69.2713,10.5762,0.627181,0.627181,0.775947,1.71504,0.969933,1.61537
19,707.676,1,24.7081,56.2927,67.1048,10.9766,0.595821,0.595821,0.756299,1.74286,0.945374,1.57447
20,693.926,1,25.3523,49.7096,63.5733,13.281,0.56603,0.56603,0.737149,1.75019,0.921437,1.5346
21,687.916,1,25.4891,43.2991,64.9556,11.3711,0.537729,0.537729,0.718484,1.71697,0.898105,1.49575
22,681.692,1,23.943,47.7077,61.3699,7.85008,0.510842,0.510842,0.700292,1.6735,0.875365,1.58113
23,676.687,1,23.3469,64.0717,65.7839,7.96227,0.4853,0.4853,0.68256,1.63112,0.8532,1.54109
24,663.672,1,23.2345,50.791,62.4123,9.75251,0.461035,0.461035,0.665277,1.58982,0.831597,1.50207
25,663.713,1,22.8263,61.1651,62.7947,7.27939,0.437984,0.437984,0.648432,1.62397,0.81054,1.46404
26,650.695,1,22.913,48.4302,60.7432,8.9121,0.416084,0.416084,0.632013,1.58339,0.790017,1.54108
27,642.014,1,23.3794,36.3456,62.549,8.34179,0.39528,0.39528,0.61601,1.54329,0.770013,1.50206
28,630.323,1,22.6804,40.6725,61.6529,8.84917,0.375516,0.375516,0.600413,1.50422,0.750516,1.46403
29,628.938,1,22.8732,38.2594,62.3638,8.32551,0.35674,0.35674,0.58521,1.46613,0.731512,1.62735
30,618.682,1,22.9237,30.4235,62.1609,8.54763,0.338903,0.338903,0.570392,1.47576,0.71299,1.58614
31,611.145,1,22.9718,34.0395,56.3027,8.88571,0.321958,0.321958,0.555949,1.43839,0.694937,1.69626
32,607.189,1,22.1501,45.9954,52.8178,10.3336,0.30586,0.30586,0.541873,1.40197,0.677341,1.65331
33,595.776,1,22.2408,45.8911,54.1824,12.6389,0.290567,0.290567,0.528152,1.61694,0.66019,1.61144
34,589.925,1,22.317,55.5906,54.1183,11.224,0.276039,0.276039,0.514779,1.576,0.643474,1.63929
35,580.245,1,22.1905,48.3117,50.44,12.5176,0.262237,0.262237,0.501744,1.5361,0.627181,1.59778
36,574.895,1,21.8944,58.9557,51.8212,14.5188,0.249125,0.249125,0.48904,1.5573,0.6113,1.55733
37,566.697,1,22.2838,41.1053,55.1755,15.1495,0.236669,0.236669,0.476657,1.51787,0.595821,1.51789
38,562.095,1,21.8621,44.9307,50.3366,16.6041,0.224835,0.224835,0.464588,1.57326,0.580735,1.53567
39,555.97,1,22.1245,50.3918,50.4004,15.7756,0.213594,0.213594,0.452824,1.53342,0.56603,1.49679
40,551.082,1,21.4927,44.8157,50.0097,15.7792,0.202914,0.202914,0.441359,1.51239,0.551698,1.45889
