iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,680.132,1,20.2629,39.2306,35.8481,6.55784,1,0.3,1,1,1,1
2,637.489,1,14.1075,37.2337,29.0428,8.05542,1.00219,0.228143,0.289377,1.02475,0.527653,0.944421
3,605.137,1,14.0934,32.6951,28.7783,7.85129,1.29685,0.181235,0.257846,1.08052,0.449301,0.860517
4,576.01,1,13.7553,25.9948,28.1334,8.27349,1.13579,0.154506,0.239913,1.035,0.430237,0.857164
5,550.016,1,13.3359,28.0068,26.8871,8.12969,1.36045,0.119795,0.255397,0.933613,0.35858,0.826474
6,531.429,1,13.4366,23.8402,26.0007,8.63774,1.51565,0.0988056,0.257518,0.875447,0.331831,0.822401
7,529.748,1,13.5716,21.0729,25.7753,8.66678,1.62508,0.0884041,0.27438,0.882519,0.340763,0.856205
8,508.531,1,13.5278,23.0478,25.8499,10.8131,1.5628,0.0701882,0.267942,0.901646,0.380837,0.849557
9,498.59,1,13.5087,23.6912,25.4923,10.3615,1.5138,0.0645136,0.260161,0.857669,0.39497,0.888331
10,505.973,1,13.4596,26.361,24.9923,10.2327,1.54865,0.062938,0.260446,1.03281,0.377324,0.958964
11,504.733,1,13.3859,26.9209,24.5504,11.4089,1.61782,0.0604179,0.256513,1.04808,0.371925,0.899566
12,495.662,1,13.3362,27.134,24.7394,11.5332,1.56356,0.0595387,0.262238,0.965695,0.384773,0.785739
13,493.77,1,13.506,23.3355,25.4448,10.9953,1.56353,0.0573653,0.268104,0.964211,0.393175,0.789769
14,487.62,1,13.5525,24.5844,24.6192,10.914,1.53646,0.0536679,0.269531,1.0113,0.370246,0.804841
15,478.931,1,13.5144,25.5879,24.6638,11.1005,1.44525,0.0558377,0.266168,0.909678,0.327718,0.858426
16,474.388,1,13.5323,24.8481,24.7207,12.133,1.39998,0.0547625,0.267859,0.891701,0.341192,0.855682
17,469.158,1,13.5027,22.5029,25.6682,11.4042,1.53214,0.0438702,0.262103,0.892188,0.372223,0.805825
18,470.821,1,13.5713,20.9237,25.6638,11.2089,1.56683,0.0437556,0.262076,0.89359,0.364013,0.796443
19,479.088,1,13.5972,19.9574,26.0929,10.4829,1.53449,0.050931,0.255082,0.957382,0.332097,0.87173
20,479.529,1,13.5879,20.8466,26.1709,11.0786,1.53455,0.0535781,0.26206,0.947022,0.301033,0.889004
21,474.48,1,13.6415,20.8072,26.2824,11.4722,1.56389,0.0479039,0.262932,0.901764,0.323806,0.852638
22,469.525,1,13.469,18.4632,25.874,12.0674,1.48321,0.0488586,0.264961,0.909049,0.300869,0.873963
