iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,603.08,1,13.509,23.899,13.116,1,0.3,1,1,1,1
2,563.074,1,19.9196,31.141,15.5277,0.854611,0.174919,0.533859,1.06678,0.80518,0.887602
3,532.946,1,19.5644,32.5272,13.8551,0.736757,0.144871,0.522314,1.14372,0.758473,0.871923
4,519.969,1,19.3281,30.8249,15.5519,0.699461,0.128626,0.526625,1.25062,0.77369,0.927146
5,502.324,1,19.4248,31.0961,19.5462,0.729771,0.111336,0.522382,1.31911,0.753483,0.959583
6,493.024,1,19.628,30.1102,19.0498,0.861276,0.100039,0.519578,1.17756,0.776537,0.916454
7,474.097,1,19.6013,28.9477,20.8506,0.905263,0.0844498,0.518074,1.05416,0.796961,0.884443
8,464.984,1,19.5848,28.5791,21.0551,0.920625,0.0774545,0.519652,0.994732,0.797591,0.90166
9,460.832,1,19.4145,29.2219,22.3453,0.977549,0.0724063,0.523712,0.935506,0.761238,0.898867
10,457.103,1,19.442,28.3399,22.9202,1.0064,0.0659119,0.515442,1.02615,0.797263,0.942089
11,448.004,1,19.3936,29.2364,24.699,1.00637,0.063302,0.507195,0.992551,0.734988,0.834487
12,438.743,1,19.5465,28.9709,25.2962,0.931593,0.060733,0.505289,0.987774,0.722728,0.897856
13,436.259,1,19.4782,29.1065,23.2018,0.942823,0.0583075,0.502099,1.03794,0.703526,0.865447
14,435.491,1,19.3735,30.035,22.7757,1.00239,0.0545128,0.51524,1.02508,0.699296,0.862286
15,432.752,1,19.4019,28.9878,23.7515,0.982236,0.0531481,0.518817,1.00289,0.718668,0.930338
16,425.132,1,19.4941,28.8566,23.7102,0.869616,0.0545752,0.513645,1.15614,0.712215,0.860242
17,422.991,1,19.3977,28.171,24.1338,0.918229,0.0518952,0.514683,1.03949,0.724199,0.842726
18,420.85,1,19.2772,28.4132,23.9761,0.935478,0.0502411,0.515885,0.978841,0.713974,0.836045
19,420.155,1,19.3661,28.904,24.3922,0.968103,0.0495342,0.512233,0.902537,0.679542,0.841967
20,418.68,1,19.5442,29.1969,23.9225,0.968089,0.048256,0.514344,0.989002,0.695926,0.806901
21,419.12,1,19.4409,28.7975,23.8884,1.00077,0.0461518,0.513114,1.0159,0.709722,0.797072
22,417.269,1,19.3914,28.6097,23.7898,1.02359,0.0435459,0.517188,0.920662,0.733114,0.860216
23,407.156,1,19.3326,28.7922,23.7703,1.00931,0.039971,0.510002,0.940015,0.721833,0.761857
24,399.876,1,19.4099,29.4057,25.5765,1.00978,0.036562,0.511115,0.930339,0.687959,0.776292
25,407.856,1,19.4673,29.5288,25.7925,1.01602,0.0407366,0.509608,0.883712,0.692745,0.813411
26,399.574,1,19.3257,29.7227,23.8343,0.970877,0.0388702,0.509546,0.842864,0.680852,0.836583
27,392.879,1,19.3109,30.1091,23.5664,0.960055,0.0368152,0.51065,0.818592,0.689664,0.789341
28,400.985,1,19.5043,29.3142,24.135,1.03662,0.0359087,0.511102,0.876185,0.696655,0.79759
29,398.768,1,19.4211,29.8208,24.4858,1.05099,0.033487,0.508963,0.94202,0.686763,0.76751
30,397.627,1,19.5456,29.7458,24.0787,1.06912,0.0308077,0.505375,1.02775,0.679917,0.784688
31,396.811,1,19.4112,29.1379,23.8378,1.11039,0.0286112,0.51584,0.949746,0.694779,0.748349
32,391.371,1,19.386,29.7589,24.3014,1.07717,0.0286087,0.51462,0.950229,0.674093,0.716971
33,387.715,1,19.3968,29.5548,24.8126,1.12259,0.022832,0.512498,0.930782,0.683879,0.777221
34,390.611,1,19.3475,29.4972,23.5824,1.12257,0.0221174,0.510082,1.00148,0.684018,0.865889
35,388.183,1,19.3947,29.273,25.1394,1.05831,0.0251765,0.513316,0.980045,0.692504,0.900404
36,386.185,1,19.397,29.7516,24.265,1.05828,0.0246487,0.508724,1.01279,0.691896,0.856424
37,382.833,1,19.4378,30.0118,24.6207,1.04353,0.0236393,0.509532,1.01225,0.688784,0.860917
38,387.258,1,19.3939,29.7098,24.4594,1.00809,0.0281758,0.504722,0.944579,0.688849,0.926863
39,383.489,1,19.3963,29.16,26.3825,1.03813,0.0253474,0.506953,0.930672,0.687954,0.851106
40,387.27,1,19.416,29.4008,26.7238,1.01628,0.0277092,0.50491,0.976798,0.677334,0.898895
41,384.464,1,19.4187,29.5825,27.6083,1.01624,0.0267259,0.509274,1.01047,0.68202,0.874268
42,387.913,1,19.467,29.2348,28.3821,1.06557,0.0243198,0.507132,1.06882,0.678679,0.873965
43,387.912,1,19.4245,28.9202,27.4574,1.08818,0.0238008,0.508317,1.10971,0.672734,0.773454
44,382.977,1,19.3386,28.5613,27.6106,1.08813,0.0212696,0.507866,1.0388,0.690859,0.770668
45,382.602,1,19.3348,28.3107,27.3356,1.11468,0.019286,0.504906,1.0315,0.697317,0.781299
46,378.807,1,19.3645,28.1635,25.7626,1.07653,0.0202883,0.507965,1.01369,0.691237,0.774697
47,390.192,1,19.378,28.5106,26.513,1.14098,0.0211797,0.513552,1.04715,0.703672,0.789836
48,387.481,1,19.3071,29.0079,27.7581,1.06289,0.0251053,0.513245,1.0096,0.701946,0.811822
49,389.366,1,19.4745,28.4988,28.0738,1.10875,0.0230042,0.507443,1.02955,0.725397,0.786585
50,383.001,1,19.3647,28.9388,26.0147,1.14095,0.0174633,0.508121,1.01333,0.715519,0.771455
51,383.741,1,19.4243,29.2458,25.743,1.15186,0.0169366,0.509933,1.12278,0.703553,0.709877
52,386.652,1,19.4362,28.9689,26.8841,1.17784,0.0163689,0.508308,1.13831,0.71048,0.709933
53,384.915,1,19.4727,28.8827,27.1268,1.14974,0.0192908,0.508544,1.04558,0.705164,0.677812
54,383.593,1,19.3925,29.1546,26.2576,1.17844,0.0152851,0.506364,1.05182,0.705567,0.720804
