Cl_pop,1,0.066233,0.024176,-0.02837,0.0053809,0.0018197,-0.005177,0.0084259,0.012668,0.0012595
beta_Cl_logtCLCRMLMIN,0.066233,1,-0.002468,0.0011373,-0.0047426,-0.0065261,0.0071777,0.0073513,-0.010137,0.013534
V1_pop,0.024176,-0.002468,1,-0.21221,0.0043279,0.21768,-0.18824,0.12046,-0.035493,0.10223
V2_pop,-0.02837,0.0011373,-0.21221,1,-0.016477,-0.18912,0.29628,-0.031124,-0.11509,-0.037965
omega_Cl,0.0053809,-0.0047426,0.0043279,-0.016477,1,-0.012237,0.007315,-0.00239,0.013777,-0.022638
omega_V1,0.0018197,-0.0065261,0.21768,-0.18912,-0.012237,1,-0.38643,-0.15911,0.092613,-0.065492
omega_Q,-0.005177,0.0071777,-0.18824,0.29628,0.007315,-0.38643,1,0.053876,-0.11853,-0.0065696
omega_V2,0.0084259,0.0073513,0.12046,-0.031124,-0.00239,-0.15911,0.053876,1,-0.15697,0.16161
a,0.012668,-0.010137,-0.035493,-0.11509,0.013777,0.092613,-0.11853,-0.15697,1,-0.53969
b,0.0012595,0.013534,0.10223,-0.037965,-0.022638,-0.065492,-0.0065696,0.16161,-0.53969,1
