iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,14.0186,0.0489749,25.6294,0.170442,34.8203,0.743571,19.0353,0.664428
2,14.0417,0.0448188,25.5027,0.160009,33.3557,0.65356,18.5768,0.580891
3,14.0079,0.0437673,25.42,0.154599,33.6182,0.643582,18.2354,0.527595
4,14.0054,0.0426937,25.3666,0.158936,33.3215,0.641255,18.1621,0.524722
5,14.0038,0.0413348,25.3538,0.161296,33.0836,0.637632,18.1973,0.527054
6,13.9937,0.0411338,25.3139,0.160131,33.1491,0.630012,18.2453,0.518324
7,13.9879,0.0400782,25.3519,0.157246,33.425,0.634036,17.9823,0.503497
8,14.0002,0.0409126,25.4134,0.15531,32.9096,0.630895,18.0119,0.504099
9,14.0011,0.0411594,25.4897,0.153194,32.437,0.630528,18.1146,0.512332
10,13.9984,0.0409829,25.5924,0.150067,32.3341,0.637178,18.2254,0.517588
11,13.9922,0.0408958,25.7238,0.148828,31.8652,0.635462,18.1407,0.513853
12,13.9916,0.0411363,25.7963,0.147979,31.7826,0.635643,18.1069,0.516115
13,13.9901,0.0412156,25.8535,0.146658,31.8294,0.635246,18.2273,0.522171
14,13.9918,0.0411637,25.9072,0.146466,32.0605,0.634727,18.2981,0.524794
15,13.9872,0.0411719,25.8595,0.146351,32.3927,0.6344,18.4864,0.522431
16,13.9871,0.0410314,25.8114,0.145879,32.6111,0.636477,18.8862,0.522554
17,13.9781,0.041028,25.8061,0.144717,33.0506,0.64343,19.0178,0.523795
18,13.9683,0.0411969,25.7834,0.144766,33.1282,0.642131,18.9614,0.519988
19,13.9668,0.041135,25.763,0.145703,33.1949,0.641096,18.8866,0.517268
20,13.9637,0.041071,25.7285,0.146858,33.5709,0.6411,18.8324,0.512963
21,13.9655,0.0408676,25.6914,0.146778,34.0447,0.644537,18.8,0.511171
22,13.9632,0.0406843,25.6708,0.146292,34.0042,0.640421,18.7623,0.507548
23,13.9628,0.0410204,25.6502,0.145778,34.0543,0.640119,18.6405,0.505795
24,13.9682,0.0411287,25.6459,0.144947,33.8737,0.638886,18.5425,0.502597
25,13.9653,0.041136,25.666,0.144222,33.7961,0.637489,18.5571,0.504213
26,13.9684,0.0412432,25.6852,0.143091,33.8186,0.638519,18.5496,0.501952
27,13.9687,0.0414297,25.6894,0.142832,34.0117,0.638711,18.532,0.501674
28,13.9675,0.0415807,25.6816,0.143762,34.2816,0.640204,18.5181,0.500731
29,13.9664,0.041782,25.6745,0.144546,34.3053,0.641354,18.4155,0.499723
30,13.9676,0.0419268,25.6558,0.14548,34.3514,0.64179,18.406,0.501104
31,13.9689,0.0421453,25.6583,0.146819,34.1792,0.641882,18.4042,0.50124
32,13.9708,0.0420292,25.6575,0.147907,34.0342,0.64358,18.4021,0.501674
33,13.9724,0.0420771,25.6836,0.147396,33.8875,0.643269,18.5057,0.503713
34,13.9722,0.041941,25.6871,0.147659,33.8521,0.643903,18.5177,0.504716
35,13.9732,0.0420009,25.6851,0.148078,33.871,0.64435,18.5017,0.507757
36,13.9758,0.0419059,25.6954,0.148228,33.7599,0.646639,18.487,0.508873
37,13.9767,0.0418062,25.7087,0.148432,33.6084,0.645607,18.4805,0.508432
38,13.9804,0.04193,25.7366,0.148475,33.4717,0.647363,18.4722,0.50949
39,13.9841,0.0419537,25.7758,0.148704,33.3405,0.64917,18.466,0.509669
40,13.9884,0.0420099,25.7925,0.148725,33.3518,0.648068,18.4716,0.508071
41,13.9868,0.0419624,25.7838,0.149225,33.4269,0.647496,18.4561,0.506867
42,13.9895,0.0421109,25.7857,0.14964,33.3501,0.647851,18.4955,0.507788
43,13.9884,0.0420858,25.8044,0.149698,33.2565,0.649569,18.4821,0.507418
44,13.9909,0.0420516,25.8005,0.150141,33.2987,0.651055,18.5895,0.509434
45,13.9931,0.0420617,25.8038,0.150172,33.2791,0.650396,18.6159,0.511751
46,13.9938,0.0421573,25.8087,0.15005,33.2747,0.651712,18.6347,0.514485
47,13.9945,0.0420963,25.7975,0.150659,33.3246,0.652009,18.6027,0.515939
48,13.9948,0.0421518,25.791,0.151582,33.261,0.65198,18.5988,0.517412
49,13.994,0.0422215,25.7885,0.152538,33.2367,0.650694,18.6307,0.521573
50,13.9942,0.0422724,25.7872,0.152889,33.1755,0.648131,18.6485,0.523508
51,13.9964,0.0423108,25.7794,0.152988,33.073,0.645928,18.656,0.525815
52,13.9952,0.0422063,25.7806,0.153005,33.0101,0.644709,18.6541,0.525757
53,13.9955,0.0421029,25.7765,0.153025,32.9361,0.642845,18.6926,0.527085
54,13.9968,0.042143,25.7833,0.152616,32.9072,0.641816,18.7285,0.527436
55,13.9971,0.0421956,25.7877,0.152316,32.886,0.639999,18.8038,0.528171
56,13.9948,0.0421966,25.7974,0.152187,33.0064,0.641334,18.855,0.528539
57,13.9944,0.0421787,25.8019,0.15194,33.0301,0.641231,18.9083,0.529603
58,13.9936,0.0421487,25.7932,0.151721,33.0915,0.639817,18.922,0.529208
59,13.99,0.0422178,25.7783,0.152049,33.1087,0.638022,18.9358,0.528704
60,13.9907,0.0421982,25.7633,0.152065,33.1741,0.637378,18.9302,0.528495
61,13.9895,0.0421844,25.7506,0.152115,33.2582,0.63796,18.9753,0.528916
62,13.9922,0.0422264,25.7331,0.152633,33.3048,0.638652,18.9622,0.528088
63,13.9934,0.0421995,25.7187,0.152762,33.4008,0.639473,18.9622,0.528567
64,13.9924,0.0422165,25.7075,0.15303,33.4488,0.640598,18.971,0.528818
65,13.9922,0.0421065,25.7087,0.153206,33.5144,0.640353,18.9489,0.529246
66,13.9896,0.0420435,25.705,0.15369,33.5616,0.639505,18.9327,0.528192
67,13.9888,0.0420863,25.6972,0.153794,33.5573,0.640417,18.9288,0.527514
68,13.9867,0.0421061,25.6907,0.153782,33.5707,0.641106,18.9134,0.525985
69,13.9859,0.0421268,25.6818,0.154019,33.5615,0.641966,18.9228,0.52591
70,13.9858,0.0420598,25.6752,0.153986,33.6283,0.642614,18.8883,0.525094
71,13.9878,0.0420437,25.669,0.154021,33.6901,0.643133,18.8926,0.525008
72,13.9904,0.0420113,25.6536,0.154064,33.7825,0.643964,18.8612,0.524353
73,13.9906,0.0420017,25.6498,0.153875,33.852,0.644999,18.8565,0.523642
74,13.9908,0.041933,25.6358,0.154012,33.878,0.645196,18.8494,0.523034
75,13.9904,0.0419257,25.6335,0.153691,33.8852,0.645714,18.8321,0.522673
76,13.9889,0.0418819,25.6324,0.153521,33.8872,0.644922,18.8521,0.521902
77,13.9873,0.0418723,25.6336,0.153379,33.8889,0.645431,18.8248,0.52201
78,13.9851,0.0419512,25.632,0.153188,33.8946,0.645983,18.8171,0.521872
79,13.984,0.0419636,25.6243,0.153281,33.888,0.64578,18.8076,0.521323
80,13.9833,0.041981,25.6194,0.153622,33.8604,0.64568,18.7801,0.520676
81,13.9837,0.0420137,25.6171,0.154057,33.849,0.645782,18.7751,0.519687
82,13.9844,0.0419416,25.6197,0.154428,33.8251,0.644879,18.7735,0.521515
83,13.9852,0.0419195,25.6249,0.154536,33.796,0.644406,18.7589,0.522669
84,13.9861,0.0419571,25.6301,0.154617,33.7777,0.644771,18.7288,0.52287
85,13.9872,0.0419557,25.6348,0.154837,33.7537,0.644841,18.7084,0.523929
86,13.9868,0.0419345,25.6429,0.154862,33.7774,0.645791,18.6924,0.524262
87,13.9876,0.0419036,25.647,0.155131,33.7746,0.645758,18.7013,0.525633
88,13.9884,0.041895,25.6561,0.155044,33.8015,0.645814,18.7022,0.525594
89,13.9888,0.0419961,25.663,0.154764,33.8051,0.646173,18.6766,0.524891
90,13.9884,0.0420342,25.6744,0.154633,33.8046,0.646224,18.6771,0.524807
91,13.9886,0.0421074,25.6701,0.154496,33.799,0.646315,18.697,0.524948
92,13.9895,0.0420955,25.6714,0.1545,33.7589,0.646672,18.6923,0.524564
93,13.9903,0.0421449,25.6771,0.154266,33.7087,0.646219,18.6844,0.524652
94,13.9901,0.0421558,25.679,0.154519,33.7553,0.647559,18.6746,0.524579
95,13.9891,0.0421924,25.6778,0.154673,33.7309,0.647429,18.6526,0.525216
96,13.9878,0.0422327,25.689,0.154553,33.7034,0.647513,18.65,0.52581
97,13.9887,0.0423189,25.6951,0.154639,33.6876,0.647903,18.6731,0.525983
