iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,683.421,1,20.56,24.431,12.7157,1,0.3,-0.410671,1,1,1,1
2,669.7,1,23.1124,20.3556,13.4402,0.95,0.285,-0.50398,0.974679,1.06652,0.974679,0.974679
3,663.902,1,24.5524,21.8573,12.8118,0.9025,0.27075,-0.523204,0.95,1.1449,0.95,0.95
4,654.094,1,23.3161,21.1556,13.1999,0.857375,0.257212,-0.498643,0.925945,1.11591,0.925945,0.925945
5,642.144,1,22.7903,21.2892,12.3457,0.814506,0.244352,-0.483756,0.9025,1.08766,0.9025,0.9025
6,626.068,1,21.9883,20.9025,10.9661,0.773781,0.232134,-0.448459,0.879648,1.06012,0.879648,0.879648
7,625.411,1,22.6549,22.5287,10.7788,0.735092,0.220528,-0.482756,0.857375,1.03983,0.857375,0.857375
8,616.189,1,23.2278,22.2518,10.8541,0.698337,0.209501,-0.500398,0.835666,1.03718,0.835666,0.835666
9,610.276,1,22.8437,22.2924,10.3504,0.66342,0.199026,-0.491755,0.814506,1.05824,0.814506,0.836508
10,610.734,1,22.0777,21.4486,8.92823,0.630249,0.189075,-0.473598,0.793882,1.09606,0.793882,0.815327
11,614.27,1,22.0958,21.8934,9.9246,0.598737,0.179621,-0.475208,0.773781,1.25534,0.773781,0.814736
12,619.738,1,22.5828,21.1796,9.98683,0.5688,0.17064,-0.490275,0.754188,1.22355,0.754188,0.794107
13,591.592,1,21.8348,20.5726,9.31386,0.54036,0.162108,-0.462574,0.735092,1.19257,0.735092,0.85434
14,587.771,1,22.6868,19.7615,9.82478,0.513342,0.154003,-0.493921,0.716479,1.16238,0.716479,0.869681
15,568.555,1,23.0702,20.9505,9.56222,0.487675,0.146302,-0.511857,0.698337,1.13294,0.698337,0.84766
16,565.131,1,23.0936,21.5933,10.3078,0.463291,0.138987,-0.512169,0.680655,1.10426,0.680655,0.826197
17,551.535,1,23.1794,21.2404,11.0784,0.440127,0.132038,-0.512132,0.66342,1.0763,0.66342,0.805277
18,548.971,1,23.2332,21.6668,10.7184,0.41812,0.125436,-0.507666,0.646622,1.05447,0.646622,0.841277
19,546.177,1,23.4446,22.3546,10.5172,0.397214,0.119164,-0.511073,0.630249,1.21364,0.630249,0.819975
20,558.628,1,23.475,22.3914,10.8894,0.377354,0.113206,-0.510101,0.614291,1.22323,0.614291,0.799213
21,553.036,1,24.1666,21.7945,11.9583,0.358486,0.107546,-0.539826,0.598737,1.23372,0.598737,0.778976
22,554.572,1,24.1377,22.3881,11.3261,0.340562,0.102168,-0.537461,0.583577,1.20248,0.583577,0.762588
23,526.98,1,23.4221,22.3739,11.0061,0.988925,0.0913973,-0.520162,0.5688,1.25733,0.5688,0.743279
24,525.787,1,23.5711,22.4271,10.8232,0.939479,0.0868275,-0.520568,0.554398,1.3493,0.554398,0.737643
25,521.213,1,24.2526,22.559,10.9648,0.892505,0.0824861,-0.542795,0.54036,1.43184,0.54036,0.762332
26,515.284,1,23.5531,22.2188,9.85852,1.092,0.0758371,-0.526331,0.526678,1.39558,0.526678,0.850813
27,512.047,1,23.8737,21.9201,10.2425,1.0374,0.0720453,-0.536659,0.513342,1.36025,0.513342,0.859594
28,505.852,1,23.6164,22.0828,9.15745,0.985529,0.068443,-0.523664,0.500344,1.38593,0.500344,0.910847
29,500.069,1,24.2081,22.0318,9.90573,1.14239,0.0648629,-0.539153,0.487675,1.35084,0.487675,0.952344
30,496.419,1,24.3138,22.4349,9.65442,1.24133,0.058773,-0.539297,0.475327,1.31663,0.475327,0.92823
31,489.742,1,24.2658,22.2377,11.1837,1.19523,0.0588341,-0.540282,0.463291,1.28329,0.463291,0.904727
32,482.621,1,23.3993,22.1287,9.80155,1.13547,0.0558924,-0.516845,0.45156,1.2508,0.45156,0.904112
33,475.728,1,23.7168,22.6315,10.1195,1.21618,0.0501217,-0.523832,0.440127,1.21913,0.440127,0.930524
34,468.447,1,24.0748,23.3786,9.92446,1.18798,0.0498982,-0.534904,0.428982,1.18826,0.428982,0.906963
35,478.635,1,24.4342,23.4298,10.1592,1.30944,0.0499885,-0.550518,0.41812,1.15817,0.41812,0.913148
36,467.787,1,24.0971,23.0193,9.32483,1.25968,0.0488711,-0.540974,0.407533,1.12885,0.407533,0.890027
37,458.515,1,24.4269,23.068,10.2948,1.1967,0.0464275,-0.548648,0.397214,1.10026,0.397214,0.867491
38,453.547,1,23.4593,23.2172,10.8879,1.24745,0.041441,-0.524759,0.387157,1.0724,0.393796,0.869483
39,455.696,1,24.2249,23.3789,10.6663,1.27551,0.0396437,-0.541674,0.377354,1.04525,0.38882,0.888401
40,456.07,1,24.9627,23.2223,10.0583,1.30419,0.0389533,-0.566068,0.367799,1.10588,0.384649,0.865906
41,452.874,1,23.9923,23.452,10.8761,1.28046,0.0389532,-0.54008,0.358486,1.07788,0.374934,0.864571
42,451.202,1,24.4001,23.2438,10.6308,1.28048,0.0409332,-0.548897,0.349409,1.05058,0.373122,0.84268
43,449.064,1,24.9222,23.0338,10.2259,1.30545,0.0367976,-0.564157,0.340562,1.05736,0.374882,0.821343
44,441.422,1,23.7124,22.9006,9.28009,1.32969,0.0320608,-0.523621,0.331938,1.06094,0.365389,0.834984
45,442.537,1,23.6517,23.0126,9.95337,1.30865,0.0346922,-0.522995,0.323534,1.03407,0.360293,0.855484
46,431.007,1,24.0989,23.3672,9.53024,1.24322,0.0329576,-0.536054,0.315341,1.00789,0.355216,0.93347
47,428.555,1,24.1296,23.4475,9.6124,1.28673,0.0289851,-0.539381,0.307357,0.982369,0.356627,0.909834
48,428.631,1,23.6492,23.4812,9.78805,1.28673,0.0278392,-0.526739,0.299574,0.957495,0.361712,0.972921
49,424.042,1,23.8932,23.1556,8.88826,1.26263,0.0258829,-0.532011,0.291989,0.952174,0.368672,0.948286
50,422.822,1,24.3738,23.0427,8.63028,1.33246,0.0223431,-0.546755,0.284596,0.928065,0.359337,0.945434
51,427.983,1,24.3389,23.4942,8.75961,1.33247,0.0234449,-0.545251,0.27739,1.03371,0.350239,0.963488
52,438.662,1,24.1443,23.4701,8.8087,1.39677,0.0213754,-0.538092,0.270366,1.0952,0.341371,1.16975
53,445.66,1,24.1542,23.5419,8.90809,1.49914,0.0190969,-0.539007,0.26352,1.06747,0.371263,1.14013
54,427.238,1,24.0858,23.4919,8.99261,1.42419,0.018142,-0.541972,0.256848,1.04044,0.361862,1.11126
55,434.413,1,24.4121,23.3442,8.03562,1.4242,0.0195242,-0.550634,0.250344,1.0141,0.3527,1.1617
56,431.108,1,24.1368,23.6109,8.02839,1.36041,0.0243411,-0.539596,0.244005,0.988418,0.343769,1.13228
57,424.106,1,24.2966,23.7132,8.33273,1.36187,0.0194093,-0.547051,0.237827,1.00176,0.335065,1.10361
58,429.022,1,23.6981,23.7568,8.17204,1.46296,0.0169797,-0.518389,0.234697,0.97639,0.326581,1.07567
59,426.968,1,23.623,23.6286,8.25527,1.43469,0.0157233,-0.524644,0.228755,0.974473,0.3323,1.13262
60,421.442,1,23.6871,23.4101,8.2281,1.45948,0.00759627,-0.520151,0.22983,0.987515,0.325312,1.12769
61,402.365,1,23.3819,23.4448,9.1346,1.3865,0.00721646,-0.516866,0.231658,0.985116,0.317075,1.09913
62,400.986,1,23.7324,23.445,9.60768,1.35144,0.00405978,-0.528441,0.231739,0.978682,0.314921,1.0713
63,410.059,1,23.8242,23.6077,9.4237,1.40433,2.22045e-16,-0.529384,0.228847,1.05057,0.306947,1.08078
64,408.659,1,23.5741,24.0068,8.7001,1.37358,2.22045e-16,-0.520234,0.23242,1.15745,0.299175,1.08734
65,407.202,1,23.3704,24.1559,8.72392,1.36859,2.22045e-16,-0.515676,0.226535,1.13802,0.300321,1.09351
66,411.102,1,23.5448,24.1863,9.1971,1.37427,0.00846577,-0.524279,0.220799,1.14361,0.292717,1.15934
67,412.495,1,23.4997,24.0245,9.79468,1.29548,0.0136977,-0.518269,0.223061,1.19794,0.285305,1.26877
68,408.807,1,24.0721,23.9405,9.19615,1.29239,0.00727318,-0.535751,0.231701,1.21381,0.293618,1.34863
69,411.736,1,23.8016,24.0355,9.27889,1.34005,2.22045e-16,-0.527171,0.233592,1.21223,0.295665,1.33438
