popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
1.65066,3.4989,1.65066,-2.84133,6.14265,0.486539,0.453357,0.486539,-4.00162,4.97469,All
1.81645,3.60072,1.81645,-2.67643,6.30932,0.551765,0.511381,0.551765,-3.93649,5.04002,All
1.99889,3.71377,1.99889,-2.49506,6.49284,0.625736,0.577471,0.625736,-3.86266,5.11413,All
2.19966,3.83818,2.19966,-2.29559,6.6949,0.709623,0.65242,0.709623,-3.77894,5.19819,All
2.42059,3.97508,2.42059,-2.07623,6.9174,0.804756,0.737417,0.804756,-3.68403,5.29354,All
2.66371,4.12572,2.66371,-1.83501,7.16243,0.912643,0.834486,0.912643,-3.57643,5.40172,All
2.93125,4.299,2.93125,-1.56977,7.43227,1.03499,0.945146,1.03499,-3.45445,5.52443,All
3.22566,4.50286,3.22566,-1.27814,7.72946,1.17375,1.07064,1.17375,-3.31617,5.66366,All
3.54964,4.73243,3.54964,-0.957534,8.05682,1.3311,1.21296,1.3311,-3.15942,5.82162,All
3.90616,4.99565,3.90616,-0.605092,8.41742,1.50955,1.37519,1.50955,-2.98175,6.00085,All
4.29849,5.2939,4.29849,-0.217696,8.81468,1.71192,1.56078,1.71192,-2.78038,6.20423,All
4.73023,5.63903,4.73023,0.208071,9.25239,1.94143,1.77154,1.94143,-2.55217,6.43502,All
5.20533,6.03272,5.20533,0.675952,9.7347,2.2017,2.01412,2.2017,-2.29356,6.69696,All
5.57115,6.33586,5.57115,1.03576,10.1065,2.49686,2.28952,2.49686,-2.00053,6.99425,All
5.72814,6.46595,5.72814,1.19004,10.2662,2.83159,2.60185,2.83159,-1.66854,7.33173,All
6.30347,6.97597,6.30347,1.75483,10.8521,3.2112,2.96282,3.2112,-1.29246,7.71486,All
6.93659,7.54391,6.93659,2.37521,11.498,3.6417,3.37379,3.6417,-0.86649,8.14989,All
7.63329,8.18399,7.63329,3.05654,12.21,4.12991,3.83985,4.12991,-0.384098,8.64393,All
8.39997,8.91962,8.39997,3.80467,12.9953,4.68358,4.37312,4.68358,0.162091,9.20506,All
9.24365,9.73561,9.24365,4.62599,13.8613,5.31147,4.98518,5.31147,0.780385,9.84255,All
9.49164,9.97546,9.49164,4.86703,14.1163,5.72465,5.39031,5.72465,1.18661,10.2627,All
10.1721,10.6474,10.1721,5.52748,14.8167,6.02353,5.68418,6.02353,1.48014,10.5669,All
11.1937,11.6674,11.1937,6.51674,15.8707,6.83105,6.48365,6.83105,2.27188,11.3902,All
12.318,12.8056,12.318,7.60208,17.034,7.74684,7.39296,7.74684,3.16745,12.3262,All
13.4121,13.921,13.4121,8.65506,18.1692,8.78539,8.42908,8.78539,4.18013,13.3906,All
13.5552,14.0699,13.5552,8.79255,18.3179,9.96317,9.60676,9.96317,5.32485,14.6015,All
14.9167,15.496,14.9167,10.098,19.7354,10.9628,10.6084,10.9628,6.29334,15.6322,All
16.4149,17.0653,16.4149,11.5293,21.3005,11.2989,10.9457,11.2989,6.61835,15.9793,All
17.3326,18.0266,17.3326,12.4033,22.2619,12.8136,12.4686,12.8136,8.07941,17.5478,All
18.0636,18.7923,18.0636,13.0981,23.0291,14.5314,14.2005,14.5314,9.72905,19.3338,All
