iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,363.116,1,19.9867,27.069,20.5526,1,-0.367397,1,1,1,1
2,335.718,1,12.4325,29.0639,29.4636,0.974679,0.040682,0.974679,0.974679,0.974679,1.00036
3,325.25,1,14.4966,31.0508,30.7612,0.95,0.0398161,0.95,0.95,0.95,0.975026
4,320.299,1,20.6953,32.6069,30.9864,0.925945,-0.371879,0.925945,0.925945,0.925945,0.950338
5,320.467,1,23.9376,28.194,30.3093,0.9025,-0.513827,0.9025,0.917993,0.9025,0.926275
6,306.886,1,26.8568,24.1977,31.7066,0.879648,-0.595292,0.879648,0.918617,0.879648,0.968481
7,305.13,1,27.9697,21.327,31.9388,0.857375,-0.686292,0.857375,1.04804,0.857375,0.943958
8,302.866,1,16.7482,22.5497,35.5862,0.835666,-0.110771,0.835666,1.06147,0.835666,0.920057
9,297.171,1,23.9083,25.5668,33.3682,0.814506,-0.481781,0.814506,1.03459,0.814506,0.959859
10,291.4,1,23.2532,21.9762,25.15,0.793882,-0.509654,0.793882,1.12792,0.793882,0.992651
11,301.633,1,26.663,24.8374,26.0522,0.773781,-0.765359,0.773781,1.2152,0.78323,0.986254
12,284.909,1,21.9796,25.2206,25.1901,0.754188,-0.44851,0.754188,1.18443,0.767949,0.961281
13,278.272,1,31.9558,20.665,21.5884,0.735092,-0.801931,0.735092,1.15444,0.748504,0.936941
14,266.248,1,22.2594,21.723,23.6727,0.716479,-0.447379,0.716479,1.12521,0.729552,0.913217
15,264.804,1,21.4215,29.7095,21.9191,0.698337,-0.421557,0.698337,1.10676,0.711079,0.890094
16,254.477,1,17.7235,28.7634,20.3858,0.680655,-0.210594,0.680655,1.18838,0.693074,0.884514
17,257.412,1,17.2343,27.2502,20.4385,0.66342,-0.174129,0.66342,1.2755,0.682429,0.86659
18,248.617,1,18.027,27.3107,19.0271,0.646622,-0.208284,0.646622,1.33035,0.66515,0.882626
19,249.411,1,20.6597,29.7906,19.6947,0.630249,-0.310636,0.630249,1.29666,0.648308,0.907115
20,244.826,1,18.6404,30.5544,19.1422,0.614291,-0.191807,0.614291,1.48016,0.631892,0.884146
21,229.433,1,22.4131,29.1072,19.5232,0.598737,-0.412558,0.598737,1.50611,0.615892,0.861759
22,227.59,1,25.0373,29.3924,20.181,0.583577,-0.494591,0.583577,1.48606,0.600297,0.839939
23,231.773,1,16.8777,30.1308,21.408,0.5688,-0.223868,0.5688,1.44844,0.585098,0.818671
24,221.509,1,15.9097,31.2594,20.6948,0.554398,-0.0762335,0.554398,1.44605,0.581772,0.797942
25,209.229,1,21.2774,31.7604,19.68,0.54036,-0.337997,0.54036,1.45117,0.567042,0.800694
