Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
3.72697,6.4322e-06,1.22699e-06,8.14128,0.000270743,0.00017286,2.39357,0.0085977,0.00680937,1.68047,0.0107234,0.0049784,All
4.12092,3.41898e-05,7.96298e-06,8.76293,0.000587103,0.000429404,6.55053,0.025511,0.0841424,2.56049,0.0238167,0.0201592,All
4.51488,0.000132125,3.71558e-05,9.38458,0.00114372,0.000952515,10.7075,0.0281893,0.19878,3.44052,0.0353218,0.0463928,All
4.90883,0.000398043,0.00013387,10.0062,0.00203616,0.00192099,14.8645,0.0257442,0.311705,4.32054,0.0436016,0.0813657,All
5.30279,0.000984871,0.000392745,10.6279,0.00335823,0.00357322,19.0214,0.0221323,0.411308,5.20056,0.0487435,0.122209,All
5.69674,0.00208329,0.000977025,11.2495,0.00518785,0.00620166,23.1784,0.0186242,0.495892,6.08059,0.0513556,0.166414,All
6.0907,0.00388807,0.00212708,11.8712,0.00757436,0.0101389,27.3353,0.0155709,0.56679,6.96061,0.0520952,0.212049,All
6.48465,0.00656549,0.00415528,12.4928,0.0105294,0.015737,31.4923,0.0130181,0.626045,7.84063,0.0515206,0.25772,All
6.87861,0.0102357,0.00743068,13.1145,0.0140231,0.0233421,35.6493,0.0109161,0.675648,8.72066,0.0500642,0.30247,All
7.27256,0.0149712,0.0123602,13.7361,0.0179852,0.0332692,39.8062,0.00919304,0.717325,9.60068,0.0480457,0.345671,All
7.66652,0.0208027,0.0193707,14.3578,0.0223117,0.0457788,43.9632,0.00777992,0.752507,10.4807,0.0456952,0.386936,All
8.06047,0.0277197,0.0288936,14.9794,0.0268731,0.0610582,48.1202,0.0066174,0.782354,11.3607,0.043175,0.426048,All
8.45443,0.0356628,0.0413464,15.6011,0.0315262,0.0792092,52.2771,0.00565689,0.807803,12.2408,0.0405972,0.46291,All
8.84838,0.0445093,0.0571117,16.2227,0.0361241,0.100243,56.4341,0.00485939,0.82961,13.1208,0.0380381,0.497507,All
