parameter,value,se_sa,rse_sa
Cl_pop,20.6167452968824,4.05712805262966,19.678799898853
beta_Cl_tSCRMGDL,-0.41503519657936,0.183075486012039,44.1108338572033
V1_pop,23.7862011241467,2.58828800144843,10.8814685789439
Q_pop,23.4,,
V2_pop,13.5533681662511,3.98120413367969,29.3742786652338
omega_Cl,0.223979229994204,0.0426448911583129,19.0396632578014
omega_V1,0.303615222838116,0.0817291825315556,26.91867086491
omega_Q,0.975272402534307,0.336823572106195,34.5363583785349
omega_V2,0.775959098178468,0.237888829473298,30.6573929001841
a,1.85329209324538,0.210238633586952,11.3440635911199
