iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,506.454,1,13.5088,24.1422,13.1053,1.5,0,1.5,1.5,1.5,1.5
2,514.549,1,18.7312,18.0319,15.664,1.60099,-0.299247,1.46202,1.46202,1.46202,1.46202
3,507.179,1,19.7721,17.9873,15.5993,1.56045,-0.345498,1.425,1.425,1.425,1.425
4,508.697,1,19.6631,18.1912,16.2969,1.57907,-0.347027,1.38892,1.38892,1.38892,1.38892
5,507.385,1,19.0044,17.8875,16.3793,1.5768,-0.322891,1.35375,1.35375,1.35375,1.35375
6,504.085,1,19.3666,17.8587,15.439,1.59085,-0.333038,1.31947,1.31947,1.31947,1.31947
7,501.791,1,19.8046,18.1148,16.0932,1.58518,-0.355473,1.28606,1.28606,1.28606,1.28606
8,503.278,1,19.6748,18.4111,16.248,1.61998,-0.351577,1.2535,1.2535,1.2535,1.2535
9,509.139,1,19.6591,18.5124,15.7686,1.69961,-0.345974,1.22176,1.22176,1.22176,1.22176
10,510.176,1,19.2558,18.1027,14.4878,1.71806,-0.328574,1.19082,1.19082,1.19082,1.19082
11,505.579,1,19.8828,18.2842,15.0371,1.71149,-0.363467,1.16067,1.16067,1.16067,1.16067
12,502.745,1,19.6403,18.2388,15.0253,1.70099,-0.34862,1.13128,1.13128,1.13128,1.13128
13,498.13,1,18.6144,18.3038,14.0077,1.66233,-0.292996,1.10264,1.10264,1.10264,1.10264
14,490.259,1,19.7771,18.0801,13.8215,1.64482,-0.348191,1.07472,1.07472,1.07472,1.07472
15,480.585,1,19.707,18.2002,14.148,1.60317,-0.347422,1.04751,1.04751,1.04751,1.04751
16,482.005,1,19.7316,18.2754,13.8119,1.60267,-0.350009,1.02098,1.02098,1.02098,1.02098
17,479.508,1,20.5254,17.9344,13.7392,1.59882,-0.385337,0.995131,0.995131,0.995131,0.995131
18,474.827,1,19.6938,18.2542,14.0799,1.59052,-0.352318,0.969933,0.969933,0.969933,0.969933
19,482.586,1,19.6378,18.2838,14.8755,1.65742,-0.345125,0.945374,0.945374,0.945374,0.945374
20,476.752,1,19.2414,18.1034,14.7881,1.63314,-0.327226,0.921437,0.921437,0.921437,0.921437
21,472.874,1,19.2973,17.894,14.2174,1.61755,-0.326114,0.898105,0.898105,0.898105,0.898105
22,467.858,1,18.7966,18.2131,13.6215,1.5766,-0.298351,0.875365,0.93488,0.875365,0.875365
23,470.552,1,19.5536,18.8554,13.4211,1.62399,-0.340208,0.8532,0.911209,0.8532,0.8532
24,462.09,1,19.0147,18.9137,13.3354,1.58287,-0.30485,0.831597,0.888136,0.831597,0.831597
25,466.635,1,20.0409,18.7261,14.026,1.62751,-0.356578,0.81054,0.885711,0.81054,0.81054
26,464.828,1,19.7598,18.1786,13.2976,1.62745,-0.341897,0.790017,0.863285,0.790017,0.790017
27,454.463,1,19.4764,18.5226,13.4636,1.58624,-0.336864,0.770013,0.890476,0.770013,0.776688
28,463.516,1,20.1801,18.7611,14.3253,1.63655,-0.365295,0.750516,0.89759,0.750516,0.757021
29,464.786,1,19.8651,19.0529,14.5838,1.66265,-0.355677,0.731512,0.877319,0.731512,0.737853
30,457.686,1,19.0424,19.4481,14.3693,1.63202,-0.310221,0.71299,0.892994,0.71299,0.71917
31,450.503,1,19.7608,18.9927,14.3995,1.5907,-0.348765,0.694937,0.870383,0.694937,0.70096
32,456.009,1,19.4121,18.8041,14.4089,1.61573,-0.342369,0.677341,0.859866,0.677341,0.693668
33,449.265,1,19.5635,18.9738,14.577,1.57651,-0.336697,0.66019,0.857148,0.66019,0.676103
34,452.611,1,19.8879,19.0518,14.9441,1.62085,-0.347173,0.643474,0.835445,0.643474,0.666882
35,458.286,1,19.294,18.7738,15.1893,1.66675,-0.330472,0.627181,0.814499,0.627181,0.71189
36,451.43,1,20.0867,19.1028,13.5986,1.64141,-0.368961,0.6113,0.798751,0.6113,0.693864
37,443.898,1,20.2171,19.3368,14.0843,1.63266,-0.375685,0.595821,0.778526,0.595821,0.676295
38,452.902,1,19.6909,19.5841,14.0407,1.72712,-0.355298,0.580735,0.758814,0.580735,0.659171
39,442.865,1,19.1032,19.4864,13.9504,1.68339,-0.315406,0.56603,0.7396,0.56603,0.655888
40,451.752,1,18.8526,19.3861,13.857,1.67794,-0.299491,0.551698,0.811367,0.551698,0.677683
41,452.51,1,19.4376,19.0911,14.2866,1.7103,-0.334943,0.537729,0.790823,0.541326,0.665284
42,448.555,1,20.0059,19.2523,13.8647,1.67584,-0.356778,0.524113,0.770799,0.547671,0.683643
43,440.83,1,19.766,19.3626,13.3849,1.63341,-0.350552,0.510842,0.775081,0.535442,0.666333
44,441.159,1,18.9915,19.3656,13.8005,1.61742,-0.307466,0.497908,0.755456,0.524644,0.716215
45,445.704,1,18.825,19.3731,14.4043,1.63921,-0.295168,0.4853,0.79134,0.535353,0.708395
46,444.725,1,19.2554,19.7101,13.8479,1.64466,-0.316009,0.473012,0.771303,0.551155,0.747489
47,441.88,1,19.4217,19.91,13.0636,1.65238,-0.328188,0.461035,0.751773,0.537199,0.728562
48,444.649,1,18.8416,20.0166,13.2803,1.69712,-0.294186,0.449362,0.732738,0.523597,0.710114
49,440.152,1,19.8988,19.4589,13.7341,1.69158,-0.356915,0.437984,0.720548,0.532689,0.692134
50,441.387,1,19.595,19.4577,13.1891,1.67716,-0.336989,0.426894,0.7255,0.538202,0.674609
51,448.156,1,19.9556,19.5222,13.4075,1.72825,-0.347426,0.416084,0.737197,0.524574,0.690331
52,441.118,1,19.8452,19.6851,13.1799,1.68449,-0.34763,0.405549,0.76101,0.516077,0.702202
53,451.519,1,19.0045,19.4608,12.5833,1.73741,-0.304365,0.39528,0.815915,0.529615,0.684422
54,450.787,1,19.2479,19.3514,13.1174,1.72747,-0.320427,0.385271,0.846626,0.533867,0.667092
55,445.702,1,19.0597,19.2502,13.564,1.7343,-0.316378,0.375516,0.825189,0.521437,0.650201
56,444.652,1,19.6836,19.6172,13.4744,1.71176,-0.344161,0.366008,0.804295,0.535164,0.672077
57,445.516,1,19.4595,19.6952,13.1551,1.68669,-0.328627,0.35674,0.822432,0.535576,0.703376
58,443.266,1,18.361,20.0758,13.3486,1.67281,-0.277153,0.347707,0.80606,0.527687,0.714896
59,443.165,1,19.0046,20.2607,13.1225,1.68558,-0.311053,0.338903,0.78565,0.514326,0.768169
60,441.674,1,18.8613,20.1303,13.1176,1.68617,-0.297471,0.330322,0.765757,0.501303,0.766597
61,444.608,1,19.2335,19.4539,13.8126,1.70768,-0.326378,0.321958,0.746367,0.503528,0.795189
62,445.122,1,19.0976,19.7671,13.8644,1.71424,-0.314643,0.313806,0.753867,0.490778,0.780898
63,444.188,1,19.2981,19.5496,13.1221,1.71994,-0.324306,0.30586,0.736618,0.5101,0.761125
64,434.46,1,19.0155,19.7212,13.03,1.67639,-0.313419,0.298116,0.717966,0.526774,0.741853
65,427.464,1,18.8142,19.9636,12.6653,1.63395,-0.303444,0.290567,0.734072,0.513436,0.723069
66,431.483,1,19.3302,20.401,12.3781,1.65092,-0.329231,0.28321,0.734553,0.500435,0.704761
67,435.314,1,19.9233,20.7308,13.4312,1.72504,-0.355732,0.276039,0.719007,0.487764,0.686916
68,429.949,1,19.1728,20.8141,14.4146,1.68136,-0.312962,0.269049,0.763538,0.475414,0.672372
