time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-40,0,0,0,0,0,0,0,0,0,0,0,All
-39.8076,61.0387,32.6186,40.9768,46.8561,52.0555,57.7558,64.1203,71.469,80.9614,95.109,123.997,All
-39.6151,99.3439,57.9553,70.7596,79.7259,87.6448,95.437,103.579,113.383,124.941,141.039,171.922,All
-39.4227,98.7884,59.9056,71.7622,80.2625,87.8563,95.1256,102.682,111.394,122.512,137.75,167.306,All
-39.2303,80.7772,50.012,59.3484,66.1434,72.4071,77.8572,83.9816,90.6535,99.006,110.873,134.23,All
-39.0378,69.6409,43.4449,51.67,57.3641,62.5061,67.2792,72.1852,77.9865,84.7054,94.0977,113.908,All
-38.8454,61.9936,37.3759,45.7941,51.0315,55.6292,59.7776,64.3426,69.3289,75.2631,83.2342,99.8576,All
-38.6529,56.3601,32.8165,41.0661,46.161,50.1573,54.1719,58.3371,62.8417,68.2331,75.3882,89.9522,All
-38.4605,51.6929,28.4631,37.2473,41.829,46.0861,49.8119,53.5066,57.6535,62.9965,69.579,82.7932,All
-38.2681,47.8891,25.4027,33.7346,38.4144,42.5744,46.1143,49.6766,53.7637,58.6763,65.1145,77.7191,All
-38.0756,44.7297,22.6606,30.8546,35.5081,39.4862,42.9149,46.5061,50.3881,55.06,61.2956,73.2814,All
-37.8832,42.0222,20.351,28.2684,32.978,36.8676,40.3693,43.8048,47.5317,52.0972,58.0944,69.531,All
-37.6908,39.6893,18.3219,26.0002,30.7938,34.5149,37.9504,41.4048,45.0115,49.5222,55.2233,66.4203,All
-37.4983,37.6341,16.5462,23.9179,28.702,32.5153,35.9219,39.3106,42.7169,47.1268,52.8072,63.5778,All
-37.3059,35.7111,14.8331,22.1381,26.7381,30.5955,34.0442,37.4162,40.693,45.0666,50.6664,61.2141,All
-37.1135,33.9239,13.3828,20.5436,25.1445,28.9227,32.2203,35.6188,38.8593,43.1544,48.605,58.9248,All
-36.921,32.2413,12.166,19.0038,23.6901,27.3823,30.6216,33.9515,37.2274,41.4434,46.7773,56.8756,All
-36.7286,30.7129,11.1653,17.7564,22.3157,25.8911,29.1601,32.4813,35.7172,39.7813,44.92,55.0734,All
-36.5361,29.3624,10.387,16.5439,21.0412,24.5536,27.7378,30.9928,34.2766,38.1807,43.22,53.1245,All
-36.3437,28.0858,9.45765,15.4586,19.8095,23.282,26.4294,29.6541,32.9659,36.7775,41.7861,51.3793,All
-36.1513,26.7636,8.73008,14.4306,18.7527,22.1518,25.2495,28.4261,31.6594,35.4655,40.418,49.791,All
-35.9588,25.5598,8.05648,13.6304,17.6189,21.0614,24.1464,27.302,30.4863,34.2655,39.1148,48.3686,All
-35.7664,24.4788,7.4041,12.8327,16.5752,20.0538,23.088,26.2002,29.3605,33.0464,37.8596,46.9914,All
-35.574,23.5009,6.8037,12.0174,15.6691,19.0327,22.0531,25.1399,28.3079,31.9143,36.6505,45.6223,All
-35.3815,22.5683,6.30366,11.2906,14.8756,18.1383,21.0838,24.1081,27.2848,30.8234,35.5467,44.4498,All
-35.1891,21.6537,5.87158,10.6517,14.1126,17.2258,20.2224,23.0667,26.3214,29.8026,34.4858,43.3081,All
